pais,palabra,frecuencia,sentimiento
Portugal,cleaner,50,positivo
Portugal,pain,23,negativo
Portugal,breathtaking,14,positivo
Portugal,wow,112,positivo
Portugal,laughter,4,positivo
Portugal,barrier,10,negativo
Portugal,wonderfully,27,positivo
Portugal,inviting,4,positivo
Portugal,teas,8,positivo
Portugal,dodgy,45,negativo
Portugal,exhausting,2,negativo
Portugal,worries,18,negativo
Portugal,careless,1,negativo
Portugal,relaxed,44,positivo
Portugal,sorry,31,negativo
Portugal,warmest,3,positivo
Portugal,admiring,2,positivo
Portugal,highlight,26,positivo
Portugal,struggling,5,negativo
Portugal,craziness,6,negativo
Portugal,dodging,1,negativo
Portugal,adored,6,positivo
Portugal,extend,6,positivo
Portugal,tired,13,negativo
Portugal,play,21,positivo
Portugal,please,22,positivo
Portugal,caring,54,positivo
Portugal,landmark,4,positivo
Portugal,thankful,2,positivo
Portugal,advantage,9,positivo
Portugal,supporters,1,positivo
Portugal,joy,13,positivo
Portugal,peacefully,3,positivo
Portugal,asset,2,positivo
Portugal,lower,11,negativo
Portugal,delighted,14,positivo
Portugal,satisfied,25,positivo
Portugal,promises,9,positivo
Portugal,enthusiastic,14,positivo
Portugal,leaked,6,negativo
Portugal,gentle,8,positivo
Portugal,restful,4,positivo
Portugal,delay,50,negativo
Portugal,intense,3,positivo
Portugal,low,34,negativo
Portugal,create,1,positivo
Portugal,considerate,12,positivo
Portugal,security,13,positivo
Portugal,supportive,4,positivo
Portugal,ridiculously,11,negativo
Portugal,entertain,3,positivo
Portugal,desire,4,positivo
Portugal,share,49,positivo
Portugal,mistake,7,negativo
Portugal,cheerful,15,positivo
Portugal,critical,1,negativo
Portugal,alone,27,negativo
Portugal,greetings,4,positivo
Portugal,bothered,21,negativo
Portugal,stopped,15,negativo
Portugal,solved,4,positivo
Portugal,confusing,8,negativo
Portugal,cares,16,positivo
Portugal,repetitive,1,negativo
Portugal,blurry,1,negativo
Portugal,hurts,1,negativo
Portugal,plays,4,positivo
Portugal,blocked,20,negativo
Portugal,promised,19,positivo
Portugal,poisoning,3,negativo
Portugal,superb,7,positivo
Portugal,cut,14,negativo
Portugal,combat,2,negativo
Portugal,uncertain,2,negativo
Portugal,surprises,33,positivo
Portugal,serious,10,negativo
Portugal,liberty,1,positivo
Portugal,odd,4,negativo
Portugal,emergency,5,negativo
Portugal,difficulties,5,negativo
Portugal,enchanted,4,positivo
Portugal,greets,7,positivo
Portugal,extends,1,positivo
Portugal,elegant,19,positivo
Portugal,ability,5,positivo
Portugal,certain,6,positivo
Portugal,treasure,16,positivo
Portugal,sharing,31,positivo
Portugal,energy,15,positivo
Portugal,struggled,11,negativo
Portugal,justified,2,positivo
Portugal,shares,7,positivo
Portugal,ugh,3,negativo
Portugal,solution,16,positivo
Portugal,trust,17,positivo
Portugal,clever,20,positivo
Portugal,misread,1,negativo
Portugal,excuse,3,positivo
Portugal,ruined,14,negativo
Portugal,loose,11,negativo
Portugal,apologise,3,positivo
Portugal,moan,2,negativo
Portugal,truly,36,positivo
Portugal,increased,1,positivo
Portugal,honest,13,positivo
Portugal,safely,6,positivo
Portugal,lonely,2,negativo
Portugal,inconvenient,10,negativo
Portugal,wishes,23,positivo
Portugal,empty,16,negativo
Portugal,flawless,6,positivo
Portugal,warmth,17,positivo
Portugal,keen,18,positivo
Portugal,invincible,3,positivo
Portugal,amazed,5,positivo
Portugal,uneasy,2,negativo
Portugal,criticism,8,negativo
Portugal,wasted,2,negativo
Portugal,upset,4,negativo
Portugal,paradise,12,positivo
Portugal,unsure,3,negativo
Portugal,yummy,24,positivo
Portugal,nasty,8,negativo
Portugal,beaten,6,negativo
Portugal,charmed,7,positivo
Portugal,warning,8,negativo
Portugal,resolved,6,positivo
Portugal,outstanding,8,positivo
Portugal,playing,20,positivo
Portugal,dirt,5,negativo
Portugal,confidence,5,positivo
Portugal,lazy,9,negativo
Portugal,confusion,2,negativo
Portugal,negative,21,negativo
Portugal,rude,10,negativo
Portugal,played,8,positivo
Portugal,cry,2,negativo
Portugal,impersonal,4,negativo
Portugal,stopping,6,negativo
Portugal,annoyed,10,negativo
Portugal,broke,20,negativo
Portugal,worst,21,negativo
Portugal,bittersweet,1,negativo
Portugal,ignored,4,negativo
Portugal,drag,2,negativo
Portugal,relaxation,6,positivo
Portugal,strongly,11,positivo
Portugal,lovers,8,positivo
Portugal,trustworthy,7,positivo
Portugal,inspiring,5,positivo
Portugal,healthy,9,positivo
Portugal,harmony,2,positivo
Portugal,god,4,positivo
Portugal,confident,3,positivo
Portugal,starving,1,negativo
Portugal,yes,5,positivo
Portugal,kidding,2,positivo
Portugal,wellness,1,positivo
Portugal,rewarding,3,positivo
Portugal,passionate,12,positivo
Portugal,wishing,2,positivo
Portugal,warmed,5,positivo
Portugal,avoided,2,negativo
Portugal,heaven,3,positivo
Portugal,pleased,23,positivo
Portugal,bummer,1,negativo
Portugal,interested,15,positivo
Portugal,fondly,2,positivo
Portugal,peacefulness,2,positivo
Portugal,dream,30,positivo
Portugal,calming,2,positivo
Portugal,hug,9,positivo
Portugal,happiness,6,positivo
Portugal,likes,9,positivo
Portugal,proud,3,positivo
Portugal,laughed,5,positivo
Portugal,credit,1,positivo
Portugal,loving,12,positivo
Portugal,valuable,20,positivo
Portugal,adore,5,positivo
Portugal,dear,14,positivo
Portugal,interest,13,positivo
Portugal,fascinating,4,positivo
Portugal,treasures,3,positivo
Portugal,lovingly,7,positivo
Portugal,nervous,3,negativo
Portugal,funny,12,positivo
Portugal,cared,9,positivo
Portugal,hilarious,3,positivo
Portugal,ease,11,positivo
Portugal,fulfill,2,positivo
Portugal,sick,10,negativo
Portugal,remarkable,5,positivo
Portugal,sunshine,24,positivo
Portugal,friendliest,11,positivo
Portugal,rich,1,positivo
Portugal,tranquility,4,positivo
Portugal,frenzy,1,negativo
Portugal,smiling,14,positivo
Portugal,bliss,4,positivo
Portugal,relief,7,positivo
Portugal,adequate,9,positivo
Portugal,generosity,11,positivo
Portugal,passion,2,positivo
Portugal,fair,17,positivo
Portugal,enthusiasts,1,positivo
Portugal,shy,5,negativo
Portugal,escaping,1,positivo
Portugal,backs,3,negativo
Portugal,encouraging,1,positivo
Portugal,adventure,2,positivo
Portugal,energetic,10,positivo
Portugal,scary,6,negativo
Portugal,abandoned,8,negativo
Portugal,easiest,7,positivo
Portugal,missed,30,negativo
Portugal,disappoint,2,negativo
Portugal,thoughtfulness,4,positivo
Portugal,trick,9,negativo
Portugal,competitive,1,positivo
Portugal,unwelcome,1,negativo
Portugal,stable,2,positivo
Portugal,desperate,4,negativo
Portugal,boosted,1,positivo
Portugal,cheering,1,positivo
Portugal,graves,1,negativo
Portugal,sophisticated,3,positivo
Portugal,liking,3,positivo
Portugal,unpleasant,17,negativo
Portugal,questionable,1,negativo
Portugal,courage,1,positivo
Portugal,terrible,17,negativo
Portugal,disregard,1,negativo
Portugal,resolve,3,positivo
Portugal,ignoring,1,negativo
Portugal,agreeing,3,positivo
Portugal,accused,2,negativo
Portugal,happier,7,positivo
Portugal,losing,5,negativo
Portugal,startled,2,negativo
Portugal,impatient,1,negativo
Portugal,admit,6,positivo
Portugal,damaged,4,negativo
Portugal,difficulty,5,negativo
Portugal,isolated,4,negativo
Portugal,rescue,2,positivo
Portugal,challenge,1,positivo
Portugal,wicked,4,negativo
Portugal,kisses,11,positivo
Portugal,mistakes,1,negativo
Portugal,beauty,14,positivo
Portugal,coziness,1,positivo
Portugal,cleared,2,positivo
Portugal,gloomy,1,negativo
Portugal,greedy,1,negativo
Portugal,responsible,7,positivo
Portugal,respectful,8,positivo
Portugal,furious,2,negativo
Portugal,celebrating,2,positivo
Portugal,privileged,3,positivo
Portugal,messy,6,negativo
Portugal,unprofessional,3,negativo
Portugal,dreams,1,positivo
Portugal,friendlier,2,positivo
Portugal,improvement,3,positivo
Portugal,alarm,2,negativo
Portugal,stingy,2,negativo
Portugal,funky,2,negativo
Portugal,vanity,1,negativo
Portugal,attacking,1,negativo
Portugal,stressful,6,negativo
Portugal,comprehensive,5,positivo
Portugal,unclear,3,negativo
Portugal,cheerfulness,1,positivo
Portugal,prettiest,7,positivo
Portugal,efficiently,5,positivo
Portugal,liveliest,2,positivo
Portugal,poor,20,negativo
Portugal,won,5,positivo
Portugal,ignore,2,negativo
Portugal,benefit,7,positivo
Portugal,eager,3,positivo
Portugal,excellence,2,positivo
Portugal,save,11,positivo
Portugal,stolen,6,negativo
Portugal,despair,1,negativo
Portugal,conflict,1,negativo
Portugal,problematic,1,negativo
Portugal,prospect,1,positivo
Portugal,incentive,1,positivo
Portugal,thieves,2,negativo
Portugal,spite,1,negativo
Portugal,destructive,1,negativo
Portugal,efficiency,2,positivo
Portugal,dynamic,1,positivo
Portugal,fascinated,1,positivo
Portugal,prettier,17,positivo
Portugal,trusted,1,positivo
Portugal,confused,1,negativo
Portugal,interests,1,positivo
Portugal,embarrassed,2,negativo
Portugal,cancel,8,negativo
Portugal,risk,6,negativo
Portugal,fake,2,negativo
Portugal,allow,7,positivo
Portugal,stress,3,negativo
Portugal,shook,2,negativo
Portugal,inspire,1,positivo
Portugal,spirit,3,positivo
Portugal,congrats,6,positivo
Portugal,attraction,5,positivo
Portugal,blessing,1,positivo
Portugal,doubts,5,negativo
Portugal,weakest,1,negativo
Portugal,sincere,4,positivo
Portugal,terrifying,1,negativo
Portugal,respect,9,positivo
Portugal,refused,4,negativo
Portugal,carelessness,2,negativo
Portugal,reassured,2,positivo
Portugal,disruptive,2,negativo
Portugal,complimentary,4,positivo
Portugal,disaster,5,negativo
Portugal,complaining,5,negativo
Portugal,unacceptable,5,negativo
Portugal,shameful,1,negativo
Portugal,loses,1,negativo
Portugal,weakly,1,negativo
Portugal,depressing,1,negativo
Portugal,inspired,1,positivo
Portugal,greeting,7,positivo
Portugal,brighter,3,positivo
Portugal,courteous,1,positivo
Portugal,faulty,2,negativo
Portugal,exposed,5,negativo
Portugal,solid,3,positivo
Portugal,impressive,13,positivo
Portugal,unbelievable,5,positivo
Portugal,insane,6,negativo
Portugal,creating,1,positivo
Portugal,apologized,6,positivo
Portugal,awards,1,positivo
Portugal,delight,4,positivo
Portugal,xd,1,positivo
Portugal,silly,3,positivo
Portugal,waste,5,negativo
Portugal,pride,3,positivo
Portugal,encouraged,1,positivo
Portugal,seriousness,1,negativo
Portugal,battle,3,negativo
Portugal,smartly,2,positivo
Portugal,yep,1,positivo
Portugal,disturbs,3,negativo
Portugal,accepting,1,positivo
