pais,palabra,frecuencia,sentimiento
España,discomfort,5,negativo
España,fight,5,negativo
España,shocked,6,negativo
España,criticism,1,negativo
España,casual,6,positivo
España,elegant,19,positivo
España,shortage,3,negativo
España,trustworthy,19,positivo
España,grin,2,positivo
España,ruin,8,negativo
España,embarrassed,2,negativo
España,congratulations,4,positivo
España,lonely,5,negativo
España,reassured,4,positivo
España,desire,2,positivo
España,valuable,17,positivo
España,insignificant,1,negativo
España,die,2,negativo
España,excellently,3,positivo
España,festivals,4,positivo
España,easiest,6,positivo
España,forced,8,negativo
España,disaster,3,negativo
España,stunk,5,negativo
España,horribly,1,negativo
España,flop,1,negativo
España,relaxed,36,positivo
España,worries,18,negativo
España,treasure,4,positivo
España,graciously,3,positivo
España,adequate,9,positivo
España,strike,18,negativo
España,seriously,30,negativo
España,impressive,11,positivo
España,champs,2,positivo
España,resolved,8,positivo
España,generous,42,positivo
España,gentle,5,positivo
España,gift,20,positivo
España,comprehensive,3,positivo
España,regretted,2,negativo
España,glamorous,1,positivo
España,arguing,2,negativo
España,supportive,8,positivo
España,lobby,12,positivo
España,triumph,5,positivo
España,honest,20,positivo
España,congrats,2,positivo
España,regret,35,negativo
España,lazy,10,negativo
España,misunderstanding,5,negativo
España,relaxation,6,positivo
España,advantage,27,positivo
España,confidence,6,positivo
España,willingness,5,positivo
España,sincerely,8,positivo
España,trusted,4,positivo
España,stolen,10,negativo
España,mad,1,negativo
España,efficiently,7,positivo
España,hurt,5,negativo
España,laughs,1,positivo
España,champagne,11,positivo
España,smiles,7,positivo
España,surely,4,positivo
España,celebrated,1,positivo
España,terror,1,negativo
España,confused,10,negativo
España,dodgy,1,negativo
España,blamed,1,negativo
España,assured,6,positivo
España,ruined,11,negativo
España,damage,6,negativo
España,suffered,1,negativo
España,wasted,2,negativo
España,rejected,1,negativo
España,accept,2,positivo
España,tricked,3,negativo
España,gladly,6,positivo
España,warn,5,negativo
España,welcomes,9,positivo
España,discord,1,negativo
España,restored,3,positivo
España,glorious,1,positivo
España,entertain,1,positivo
España,lower,10,negativo
España,elegance,2,positivo
España,scared,9,negativo
España,superb,16,positivo
España,dead,4,negativo
España,accidental,1,negativo
España,exhausted,6,negativo
España,died,2,negativo
España,brisk,1,positivo
España,disturbed,4,negativo
España,masterpieces,1,positivo
España,worthwhile,1,positivo
España,blocked,8,negativo
España,dedicated,6,positivo
España,avoided,3,negativo
España,blessed,1,positivo
España,exposed,7,negativo
España,ugly,3,negativo
